id,product_id,name,sku,parent_sku,brand,picklist_tag,category_ids,category_tag,parent_category,category_hierarchy,price,barcode,sync_required,quantity,qty_sold,url_key,short_description,description,image,additional_images,out_of_stock_at,in_stock_at,days_out_of_stock,days_in_stock,picking_mode,created_at,updated_at,kokon_pharmacy_qty,bahadurabad_qty,malir_qty,korangi_qty,last_order_date,last_order_date_display
329,502,Freshmate Sour Cream 'n Onion Powder 80gm,IC-1145388,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,8964001100089,0,2,,freshmate-sour-cream-n-onion-powder-80gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Creamy sour cream and onion flavour in powder form.</li><li>80g convenient size for seasoning multiple dishes.</li><li>Perfect for snacks, dips, and savoury r","<p>Freshmate Sour Cream 'n Onion Powder brings the beloved tangy, creamy flavour of sour cream and caramelised onions to your kitchen in practical powder form. This 80g container combines savoury onion notes with subtle cream undertones, making it versati",/1/1/1145388-1.jpg,/1/1/1145388-2.jpg,2026-05-20 21:10:16,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:33,2026-07-08 21:10:15,0,4,22,0,2026-07-03 22:35:29,2026-07-03 22:35:29
330,503,Freshmate Chilli Garlic Powder 75gm,IC-1145389,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,8964001100102,0,4,,freshmate-chilli-garlic-powder-75gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Bold chilli and garlic blend for spicy dishes.</li><li>75g container provides multiple uses across recipes.</li><li>Perfect for curries, stir-fries, and marin","<p>Freshmate Chilli Garlic Powder combines fiery chilli heat with pungent garlic notes, creating a dynamic seasoning for spice lovers. This 75g blend works beautifully in curries, stir-fries, marinades, and any dish where you want bold, layered heat. The ",/1/1/1145389-1.jpg,/1/1/1145389-2.jpg,2026-05-20 21:10:16,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:33,2026-07-08 21:10:15,0,4,16,0,,
331,504,Freshmate Mirchi Masala Powder 85gm,IC-1145390,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,8964001100119,0,8,,freshmate-mirchi-masala-powder-85gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Authentic Indian spice blend with chilli and cumin notes.</li><li>85g container suitable for multiple servings and recipes.</li><li>Ideal for snack seasonings","<p>Freshmate Mirchi Masala Powder captures the essence of traditional Indian street food seasoning in a convenient 85g container. This blend combines dried chilli, spices, and a hint of tanginess to create the distinctive flavour of classic chaat masala. ",/1/1/1145390-1.jpg,/1/1/1145390-2.jpg,2025-07-18 21:10:16,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:33,2026-07-08 21:10:15,0,9,12,0,2026-06-07 18:31:13,2026-06-07 18:31:13
332,505,Freshmate Fajita Powder 85gm,IC-1145391,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,8964001100126,0,16,,freshmate-fajita-powder-85gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Complete fajita seasoning blend in convenient powder form.</li><li>85g size makes multiple fajita servings.</li><li>Perfect for Mexican-style grilled meats an","<p>Freshmate Fajita Powder is a complete seasoning blend designed to bring authentic Mexican flavours to your kitchen in 85g of convenience. Combining cumin, chilli, garlic, and complementary spices, it delivers the smoky, savoury profile expected from si",/1/1/1145391-1.jpg,/1/1/1145391-2.jpg,2026-02-19 21:10:13,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,19,19,0,2026-06-18 07:22:11,2026-06-18 07:22:11
333,506,Freshmate Peri Peri Powder 80gm,IC-1145392,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,8964001100133,0,16,,freshmate-peri-peri-powder-80gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Authentic peri-peri spice blend for bold African flavour.</li><li>80g container provides generous seasoning capacity.</li><li>Perfect for grilled meats, chick","<p>Freshmate Peri Peri Powder delivers the distinctive African flame and fruity heat that makes peri-peri cuisine so compelling. This 80g blend captures the essence of chilli peppers with complementary spices, creating a bold seasoning perfect for grilled",/1/1/1145392-1.jpg,/1/1/1145392-2.jpg,2025-10-01 21:10:15,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,16,10,0,2026-06-22 10:07:48,2026-06-22 10:07:48
334,507,Freshmate Dahi Bara Masala 80gm,IC-1020192,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,895120001644,0,8,,freshmate-dahi-bara-masala-80gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Specially blended spice mix designed for authentic dahi bara preparation.</li><li>Balanced flavour profile with aromatic spices and dried herbs.</li><li>Conve","<p>Freshmate Dahi Bara Masala is a carefully formulated spice blend crafted specifically for making traditional dahi bara at home. This 80g packet combines aromatic spices, dried herbs, and seasonings in proportions that deliver the authentic flavour prof",/1/0/1020192-1.jpg,/1/0/1020192-2.jpg,2026-02-19 21:10:13,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,7,10,0,,
335,508,Freshmate Kala Namak 120gm,IC-1106336,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,199.0,895120001675,0,19,,freshmate-kala-namak-120gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Authentic kala namak (black salt) with distinctive mineral-rich flavour.</li><li>Adds unique tangy and umami notes to curries, salads, and beverages.</li><li>","<p>Freshmate Kala Namak is a mineral-rich black salt prized in South Asian cooking for its distinctive slightly tangy and sulphurous flavour. This authentic spice ingredient elevates curries, salads, raita, and even sweet lassi with a unique umami depth t",/1/1/1106336-1.jpg,/1/1/1106336-2.jpg,2026-05-20 21:10:16,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,19,0,0,2026-07-02 11:38:16,2026-07-02 11:38:16
336,509,Freshmate Fruit Chaat Masala 100gm,IC-1082982,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,895120001859,0,38,,freshmate-fruit-chaat-masala-100gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Tangy fruit chaat masala blend adds zest to snacks and salads.</li><li>100g pack provides perfect seasoning quantity for multiple uses.</li><li>Balanced spice","<p>Freshmate Fruit Chaat Masala is a vibrant spice blend crafted to elevate fresh fruits, salads, and savoury snacks with tangy, layered flavour. This 100g pack combines citrusy spices, dried fruit notes, and savoury elements to create the perfect seasoni",/1/0/1082982-1.jpg,/1/0/1082982-2.jpg,2025-12-11 21:10:19,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,38,2,0,2026-06-21 19:13:57,2026-06-21 19:13:57
337,510,Freshmate Chaat Masala 100gm,IC-1020286,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,895120001583,0,15,,freshmate-chaat-masala-100gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Balanced blend of dried fruits, spices, and herbs for authentic chaat flavour.</li><li>100g package offers excellent value with multiple uses.</li><li>Elevate","<p>Freshmate Chaat Masala is a thoughtfully balanced spice blend that captures the vibrant, tangy essence of Pakistani street food. This 100g packet combines dried fruits, spices, and herbs in precise proportions to deliver the complex flavour profile tha",/1/0/1020286-1.jpg,/1/0/1020286-2.jpg,2026-06-29 21:10:14,2026-07-09 08:00:11,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-09 08:00:11,0,16,0,0,2026-07-08 23:39:45,2026-07-08 23:39:45
338,511,Freshmate Zeera Raita Mix 75gm,IC-1069212,,Freshmate,Groceries & Pets,150,,Groceries & Pets,Groceries & Pets > Food Staples > Spices & Recipes,349.0,895120001743,0,22,,freshmate-zeera-raita-mix-75gm,"<h3 class=""list__product--title"">Product Highlights:</h3><ul class=""list__product--listings""><li>Aromatic cumin-based raita mix — earthy, warm spice blend.</li><li>75g packet makes fresh, creamy raita in minutes.</li><li>Ready-to-mix formula — just add yo","<p>Freshmate Zeera Raita Mix brings the warm, earthy comfort of cumin to your table with minimal effort. This 75g packet contains a carefully balanced blend of spices designed to transform plain yoghurt into a cooling, flavourful side dish. Simply combine",/h/t/httpsmedia.naheed.pkcatalogproduct101069212-1.jpg,/h/t/httpsmedia.naheed.pkcatalogproduct101069212-2.jpg,2025-10-17 21:10:16,2026-07-08 21:10:15,0,0,Naheed Super Market,2024-03-26 05:42:34,2026-07-08 21:10:15,0,22,4,0,2026-07-06 13:45:05,2026-07-06 13:45:05
